target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,min,max,num_samples,median,mean,stdev,num_found_matchings
200,600,si/si2_bvg_b03_200/si2_b03_m200.02/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.02/pattern,0.03049312811344862,0.03301566280424595,10,0.030575632583349943,0.0308053370565176,0.0007778056642388464,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.01/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.01/pattern,0.03057179693132639,0.03298751264810562,10,0.030625662300735712,0.030863195937126876,0.0007475674084488212,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.00/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.00/pattern,0.03095172718167305,0.03349304385483265,10,0.03102801740169525,0.03126674760133028,0.0007837872464655014,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.07/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.07/pattern,0.022968269884586334,0.026964344084262848,10,0.023839314468204975,0.02443274101242423,0.0015286307828618639,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.03/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.03/pattern,0.025926316156983376,0.026710154488682747,10,0.025942790787667036,0.026043079420924188,0.00023975516990677574,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.04/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.04/pattern,0.026100564748048782,0.030632448382675648,10,0.026999753434211016,0.027595024835318328,0.0017194914570575186,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.06/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.06/pattern,0.027422483079135418,0.032185474410653114,10,0.02824393706396222,0.028923141490668058,0.0017543334741372684,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.05/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.05/pattern,0.030541268177330494,0.03143142629414797,10,0.030601047445088625,0.030678634252399205,0.0002670415620208119,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.09/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.09/pattern,0.030535297468304634,0.03311877325177193,10,0.030688137281686068,0.03094843802973628,0.0007725074061320407,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.08/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.08/pattern,0.030915556475520134,0.03312051296234131,10,0.03097248123958707,0.031180801335722208,0.0006821737971947006,400
400,1200,si/si2_bvg_b03_400/si2_b03_m400.04/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.04/pattern,0.16453239787369967,0.1750046694651246,10,0.17270091827958822,0.17214120365679264,0.0028166542611978785,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.05/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.05/pattern,0.21116561722010374,0.23466330859810114,10,0.2224733531475067,0.22315173726528884,0.008752543065732778,800
