target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,min,max,num_samples,median,mean,stdev,num_found_matchings
200,600,si/si2_bvg_b03_200/si2_b03_m200.04/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.04/pattern,0.9065785519778728,0.935755745973438,10,0.9124570628628135,0.9154413640964776,0.009684465982372369,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.07/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.07/pattern,0.9134699199348688,0.9314758297987282,10,0.91825434518978,0.9189898619428277,0.005180077156878037,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.03/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.03/pattern,0.9164103027433157,0.9309653588570654,10,0.9257463885005563,0.9247840075287967,0.004071099391681314,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.01/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.01/pattern,0.9221647400408983,0.936497705988586,10,0.9279021059628576,0.928084920393303,0.003989308425048145,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.06/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.06/pattern,0.9338502129539847,0.9435641439631581,10,0.9394138143397868,0.9390781839843839,0.003244631889767172,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.08/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.08/pattern,0.9315353599376976,0.9622463048435748,10,0.9411826168652624,0.942953476542607,0.010241201849197936,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.05/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.05/pattern,0.9392454591579735,0.9513973430730402,10,0.9415533419232816,0.9436295621562749,0.00479170763096643,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.09/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.09/pattern,0.941095591057092,0.957865800242871,10,0.945924345869571,0.9466653305105865,0.004790248436094649,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.02/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.02/pattern,0.9431072827428579,0.9740914381109178,10,0.9583619209006429,0.9576186208054424,0.009345798743152185,400
200,600,si/si2_bvg_b03_200/si2_b03_m200.00/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.00/pattern,0.9926821701228619,1.0034912922419608,10,0.9974209854844958,0.9973544512875379,0.00313493867293335,400
400,1200,si/si2_bvg_b03_400/si2_b03_m400.03/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.03/pattern,5.873162726871669,6.0562224527820945,10,5.988810518523678,5.987444716971368,0.04986947385867392,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.08/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.08/pattern,5.924635900184512,6.095403920393437,10,6.041498865233734,6.033605033811182,0.04646224898475808,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.06/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.06/pattern,5.938799695111811,6.1082694958895445,10,6.082424089778215,6.068676974717528,0.051452649898934215,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.01/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.01/pattern,5.914576841052622,6.15821377094835,10,6.130180246429518,6.094324714597315,0.078305257062095,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.00/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.00/pattern,5.989499147981405,6.121584159787744,10,6.07134550716728,6.065083897626027,0.03969001962105947,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.05/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.05/pattern,5.992719245143235,6.101730572991073,10,6.084196031792089,6.0728779708500955,0.03311625750899664,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.09/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.09/pattern,5.964788004755974,6.120711911935359,10,6.0912380600348115,6.077424393966794,0.045451113755340014,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.04/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.04/pattern,6.0441020471043885,6.190189694054425,10,6.169129602611065,6.1541346864309165,0.04342251223438137,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.07/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.07/pattern,6.270838054828346,6.5152792618609965,10,6.461210597073659,6.4340878474991765,0.07882539004355708,800
400,1200,si/si2_bvg_b03_400/si2_b03_m400.02/target,80,234,si/si2_bvg_b03_400/si2_b03_m400.02/pattern,6.4941778453066945,6.596518341917545,10,6.581824273103848,6.565042194677517,0.0384990186717991,800
800,2400,si/si2_bvg_b03_800/si2_b03_m800.01/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.01/pattern,42.19506067875773,42.5201809303835,10,42.35190447932109,42.35235160645097,0.11062908583083671,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.08/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.08/pattern,42.25563540030271,42.6035048533231,10,42.41345526929945,42.413725222740325,0.12776747403287608,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.02/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.02/pattern,42.21725055016577,42.866892899386585,10,42.65502551291138,42.5940317414701,0.21413991479078068,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.06/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.06/pattern,42.355656555853784,42.97210779879242,10,42.669861937407404,42.667595320846885,0.17671318378303913,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.09/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.09/pattern,42.61354134231806,43.067372794263065,10,42.77626344608143,42.79356356915086,0.13131738542257823,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.07/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.07/pattern,42.49853789899498,43.1584657067433,10,42.793429082259536,42.81076642889529,0.17184973949936388,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.00/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.00/pattern,42.54444726463407,43.139393453486264,10,42.991810210980475,42.9481871670112,0.18075646714736796,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.04/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.04/pattern,42.339850483462214,43.28438542224467,10,43.08173358254135,42.99063705988228,0.29300249904246856,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.05/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.05/pattern,42.53586172591895,43.331192744895816,10,43.15667032916099,43.07811129791662,0.2235434910518347,1600
800,2400,si/si2_bvg_b03_800/si2_b03_m800.03/target,160,474,si/si2_bvg_b03_800/si2_b03_m800.03/pattern,42.73541028704494,45.1970480363816,10,44.89428852405399,44.11232285769656,1.1447350151902025,1600
200,600,si/si2_bvg_b03m_200/si2_b03m_m200.08/target,40,96,si/si2_bvg_b03m_200/si2_b03m_m200.08/pattern,1.0045908209867775,1.061231228057295,10,1.0151623089332134,1.021650820504874,0.01792204030162691,16
200,600,si/si2_bvg_b03m_200/si2_b03m_m200.05/target,40,100,si/si2_bvg_b03m_200/si2_b03m_m200.05/pattern,1.7483380129560828,1.8059550379402936,10,1.765779257984832,1.7713761486578732,0.018145932081907932,4
200,600,si/si2_bvg_b03m_200/si2_b03m_m200.09/target,40,90,si/si2_bvg_b03m_200/si2_b03m_m200.09/pattern,0.6957270614802837,0.73272212035954,10,0.705661665648222,0.7078580304980278,0.01091449462230131,64
199,598,si/si2_bvg_b03m_200/si2_b03m_m200.00/target,40,94,si/si2_bvg_b03m_200/si2_b03m_m200.00/pattern,4.600565984845161,4.911814439110458,10,4.73827165691182,4.737762791430578,0.11657754803402576,32
200,600,si/si2_bvg_b03m_200/si2_b03m_m200.06/target,40,94,si/si2_bvg_b03m_200/si2_b03m_m200.06/pattern,4.950570795219392,5.198552978690714,10,5.063300604466349,5.068987343134358,0.1013929414327323,32
199,598,si/si2_bvg_b03m_200/si2_b03m_m200.04/target,40,86,si/si2_bvg_b03m_200/si2_b03m_m200.04/pattern,147.2479025782086,154.3595406380482,10,150.3093992851209,150.15016283164732,2.254609028804627,663552
400,1196,si/si2_bvg_b03m_400/si2_b03m_m400.05/target,80,188,si/si2_bvg_b03m_400/si2_b03m_m400.05/pattern,148.12253112252802,164.72191102989018,10,154.57799596246332,155.30364841036499,4.584069049800332,9216
200,1200,si/si2_bvg_b06_200/si2_b06_m200.00/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.00/pattern,1.232599982060492,1.2895313762128353,10,1.2467287895269692,1.2479338387958705,0.01587422933652566,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.03/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.03/pattern,1.334079908207059,1.3631563307717443,10,1.344029009807855,1.3452687861863524,0.007304444812488373,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.02/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.02/pattern,1.3858403177000582,1.3941778670996428,10,1.3893947566393763,1.389359088614583,0.002631804038474882,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.01/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.01/pattern,1.4552749712020159,1.4616214698180556,10,1.4600753225386143,1.4591017300263047,0.0026774123790520386,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.04/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.04/pattern,1.2052752105519176,1.2956595597788692,10,1.2210106975398958,1.229074572119862,0.026290647800319623,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.06/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.06/pattern,1.323704665992409,1.337587052024901,10,1.3271710856352001,1.3281363466754557,0.00405520354205249,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.05/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.05/pattern,1.3370556319132447,1.3455936922691762,10,1.3409076461102813,1.3411759866867214,0.002772878751328109,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.07/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.07/pattern,1.1852321890182793,1.212545320391655,10,1.1999294480774552,1.2001478961203247,0.009178941459648001,400
200,1200,si/si2_bvg_b06_200/si2_b06_m200.08/target,40,228,si/si2_bvg_b06_200/si2_b06_m200.08/pattern,1.2008444322273135,1.230564918834716,10,1.2107367410790175,1.2113256745971739,0.009923902027830375,400
