vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
-1.000000,143.682723,0,-1,122880,si/si2_bvg_b03m_400/si2_b03m_m400.03/target,si/si2_bvg_b03m_400/si2_b03m_m400.03/pattern,400,1200,80,188
-1.000000,-1.000000,0,-1,-1,si/si2_bvg_b03m_400/si2_b03m_m400.04/target,si/si2_bvg_b03m_400/si2_b03m_m400.04/pattern,400,1200,80,178
-1.000000,0.118813,0,-1,9216,si/si2_bvg_b03m_400/si2_b03m_m400.05/target,si/si2_bvg_b03m_400/si2_b03m_m400.05/pattern,400,1196,80,188
-1.000000,-1.000000,0,-1,-1,si/si2_bvg_b03m_400/si2_b03m_m400.06/target,si/si2_bvg_b03m_400/si2_b03m_m400.06/pattern,400,1200,80,178
-1.000000,-1.000000,0,-1,-1,si/si2_bvg_b03m_400/si2_b03m_m400.07/target,si/si2_bvg_b03m_400/si2_b03m_m400.07/pattern,400,1198,80,176
-1.000000,-1.000000,0,-1,-1,si/si2_bvg_b03m_400/si2_b03m_m400.08/target,si/si2_bvg_b03m_400/si2_b03m_m400.08/pattern,400,1198,80,186
-1.000000,-1.000000,0,-1,-1,si/si2_bvg_b03m_400/si2_b03m_m400.09/target,si/si2_bvg_b03m_400/si2_b03m_m400.09/pattern,400,1200,80,184
-1.000000,0.057932,0,-1,400,si/si2_bvg_b09_200/si2_b09_m200.08/target,si/si2_bvg_b09_200/si2_b09_m200.08/pattern,200,1800,40,314
-1.000000,214.782939,0,-1,13271040,si/si2_bvg_b09m_400/si2_b09m_m400.01/target,si/si2_bvg_b09m_400/si2_b09m_m400.01/pattern,400,3600,80,312
-1.000000,0.021962,0,-1,1536,si/si2_bvg_b09m_400/si2_b09m_m400.02/target,si/si2_bvg_b09m_400/si2_b09m_m400.02/pattern,400,3590,80,352
-1.000000,0.006648,0,-1,96,si/si2_bvg_b09m_400/si2_b09m_m400.03/target,si/si2_bvg_b09m_400/si2_b09m_m400.03/pattern,400,3596,80,366
