vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
0.023246,0.022513,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.00/pattern,200,600,40,114
0.024212,0.022498,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.01/pattern,200,600,40,114
0.024496,0.022459,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.02/pattern,200,600,40,114
0.024525,0.023622,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.03/pattern,200,600,40,114
0.024497,0.023612,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.04/pattern,200,600,40,114
0.024289,0.022566,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.05/pattern,200,600,40,114
0.024114,0.022996,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.06/pattern,200,600,40,114
0.024394,0.023319,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.07/pattern,200,600,40,114
0.024242,0.023094,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.08/pattern,200,600,40,114
0.024240,0.022506,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b03_200/si2_b03_m200.09/pattern,200,600,40,114
